tmdb_id,title,description,poster,popularity,genres,rating,rating_count,release_date
2428,The Greatest Story Ever Told,"From his birth in Bethlehem to his death and eventual resurrection, the life of Jesus Christ is given the all-star treatment in this epic retelling. Major aspects of Christ's life are touched upon, including the execution of all the newborn males in Egypt by King Herod; Christ's baptism by John the Baptist; and the betrayal by Judas after the Last Supper that eventually leads to Christ's crucifixion and miraculous return.",/bElppZiqNRAoarktV4Dhv0HNNt8.jpg,11.499,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",6.3,95,1965-02-15
566367,Midnight Family,"In Mexico City, the government operates fewer than 45 emergency ambulances for a population of 9 million. This has spawned an underground industry of for-profit ambulances often run by people with little or no training or certification. An exception in this ethically fraught, cutthroat industry, the Ochoa family struggles to keep their financial needs from jeopardizing the people in their care. When a crackdown by corrupt police pushes the family into greater hardship, they face increasing moral dilemmas even as they continue providing essential emergency medical services.",/bYDK57xzZli6krR6iGQQcqxaz91.jpg,14.277,"[{'id': 99, 'name': 'Documentary'}]",7.4,30,2019-03-29
167313,Monster High: Why Do Ghouls Fall in Love?,"Draculaura’s Sweet 1600th birthday is an extra special occasion to party at Monster High! But her high expectations lead to deadly results when she’s faced with the choice between practical boyfriend Clawd, and new vampire heartthrob, Valentine, a romantic blast from her past. Her ghoulfriends find it odd that Valentine created a holiday in her honor, but oddly named it after himself (how romantic?) and have to stop him before he steals her heart… literally. Draculaura must decide which boy is right for her before the party! Will she find out about Valentine’s sinister plan? Will her best ghoulfriends be able to help her in time? And most importantly… will Draculaura pass her driving test?",/ehsu0cjPtivGSHn0tuoFpRXKpuN.jpg,15.762,"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}]",7.1,46,2011-12-21
10756,The Haunted Mansion,"Workaholic Jim Evers and his wife/business partner Sara get a call one night from  a mansion owner, Edward Gracey, who wants to sell his house. Once the Evers family arrive at the mansion, a torrential thunderstorm of mysterious origin strands them with the brooding, eccentric Gracey, his mysterious butler, and a variety of residents both seen and unseen.",/lGi5yio4pdDz5PkSeZCbnMQz5vK.jpg,15.389,"[{'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 9648, 'name': 'Mystery'}]",5.5,1375,2003-11-25
42684,Skyline,"When strange lights descend on the city of Los Angeles, people are drawn outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth. Now the band of survivors must fight for their lives as the world unravels around them.",/npOLgDD49UNRPRKPXWdrCBQdkrL.jpg,19.725,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",4.9,1051,2010-11-11
5123,August Rush,An orphaned musical prodigy uses his gift as a clue to finding his birth parents.,/oA6ZeICPINiS6YtD5WZeBaGVmuT.jpg,15.46,"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",7.3,2029,2007-11-21
9461,Enter the Dragon,A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.,/zN7OOSARMLVzl9xJqkW2CcZ3xhY.jpg,22.588,"[{'id': 28, 'name': 'Action'}]",7.4,1119,1973-08-17
508101,Plus One,Two single friends agree to be each others' respective plus one for each wedding they're invited to during a particularly busy nuptial period of their lives.,/4w3bCp5UkLeemdq8MBNlyA3Zl2J.jpg,14.078,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",7.2,130,2019-08-08
409582,7 Guardians of the Tomb,An innocent discovery of a well-preserved mummified Emperor from 200 BC China unearths a 2000 year old nightmare - a secret that should have remained buried.,/lBW7Aq7RzsFbrnmn9RCkpd6GbXf.jpg,14.79,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}]",5.3,120,2018-01-19
407445,Breathe,"Based on the true story of Robin, a handsome, brilliant and adventurous man whose life takes a dramatic turn when polio leaves him paralyzed.",/wLu2N0QVfSpk10RJ17HLHyRUmww.jpg,17.65,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.4,480,2017-10-13
14362,Out for Justice,Gino Felino is an NYPD detective from Brooklyn who knows everyone and everything in his neighborhood. Killing his partner was someone's big mistake... because he's now out for justice.,/nmfM1diysOyrX4JbvwS7uOomyes.jpg,14.883,"[{'id': 28, 'name': 'Action'}]",6.1,243,1991-04-12
16617,Mindhunters,Trainees in the FBI's psychological profiling program must put their training into practice when they discover a killer in their midst.,/e43yfoilntMmhtEn1bF9r0eJOZk.jpg,16.135,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.4,738,2004-05-07
9772,Air Force One,"Russian terrorists conspire to hijack the aircraft with the president and his family on board. The commander in chief finds himself facing an impossible predicament: give in to the terrorists and sacrifice his family, or risk everything to uphold his principles - and the integrity of the nation.",/evO1iENjLpUnbwjnt5XK85jRYob.jpg,16.486,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",6.4,1858,1997-07-25
